mean.a	mean.b	logFC
POLR2A	1.0009528775	1.0009184925	-4.95606957861656e-05
EZH2	0.76981929	0.013932125	-5.78803259523828
F13A1	0.0019750625	0.1426658325	6.17459774279763
CRH	0.00042771	0.0122379825	4.8385889927532
CHGB	0.0235866575	2.33963045	6.63216587396357
EDN1	0.1275298575	0.25836201	1.01855889646945
DEFB4	0.0005663175	0.00032397	-0.80575088775073
DGKG	0.0105550625	0.82872443	6.29488542556999
DLG4	0.1526386875	2.3744343475	3.95939129033415
ERN1	0.41216345	0.06432526	-2.67975928624871
CSNK2A2	0.33146674	0.1607372625	-1.044159698019
CSK	0.2585841525	0.085324115	-1.5996084107698
EPHA7	0.004705415	0.0531530725	3.49775921480779
EIF2AK3	0.191783635	0.12058037	-0.669484558275268
EPHA3	0.095623645	0.0269260625	-1.82836412514435
FGR	0.00092251	0.0310405575	5.07244610881504
DCC	0.001627265	0.0977994725	5.90930556569976
CHRNA4	0.00435987	0.1474944425	5.08023166718593
FGF9	0.0183380875	0.3246017875	4.1457558528803
CHRNG	0.00042771	0.00032397	-0.40077271424056
FANCG	0.59081386	0.0744733475	-2.98790755914979
CHST1	0.02428154	0.8742575075	5.17012645063878
DUSP3	0.5553018975	0.70885229	0.352212705579176
FKBP5	0.4591519575	0.3765215175	-0.286239381658476
COX15	0.358890335	0.2118174375	-0.760721710000267
CSPG3	0.0017058675	0.241744565	7.1468340521565
DFFA	0.8359033075	0.2988346675	-1.48398854587815
CRLF1	0.3400157975	0.080194035	-2.08403494197492
EGFR	0.132342975	0.0688392175	-0.942979012679729
E2F2	0.019001535	0.00032397	-5.87411193414508
DAP	0.53721506	0.0658021	-3.02929421727713
CSF1R	0.0022363725	0.1806254275	6.33569668212678
CP	1.06534264	0.2718451825	-1.97046034397962
CYP3A5	0.0013687275	0.00032397	-2.07890311982036
DYSF	0.0370742175	0.041679515	0.168922246890846
CRYGB	0.00042771	0.00032397	-0.40077271424056
FER	0.3880135175	0.5303486275	0.450834121330636
FGF2	0.29062547	0.48346084	0.734237892876365
DNAJC7	0.199537235	0.1880118325	-0.0858345276558969
CYP2J2	0.02237552	0.2393518625	3.41913991667818
FADD	0.42460464	0.1419054025	-1.58119062134633
CRP	0.00042771	0.0004095025	-0.0627606787900987
DRD5	0.0510368725	0.03815894	-0.419518828652654
CYP3A7	0.002210935	0.00032397	-2.7707244823514
CYP2A13	0.00042771	0.00032397	-0.40077271424056
CYP2C9	0.00042771	0.00032397	-0.40077271424056
FBP2	0.0004908	0.0066484325	3.75980708258406
ELK1	0.58303026	0.7017600975	0.267407154520239
DPYD	0.190920155	0.06468587	-1.5614469037396
FABP4	0.00042771	0.0052088525	3.60626074121153
CUL4A	1.092820575	0.433982275	-1.33234852578139
UBC	8.58673235	9.0265692325	0.0720685370830725
CKS2	0.0888075575	0.00818008	-3.44049559707405
18S	48286.98405	50141.757125	0.0543781963968559
HPRT1	1.3764842025	1.0161399475	-0.437888942209341
ABCC8	0.0014632625	0.179814285	6.94117522429031
CNIH	1.617956175	1.127504015	-0.521039959659392
ABCB6	0.927713315	0.57031336	-0.701924218617516
ARMET	1.2658365925	0.3993841825	-1.66424207704931
CELSR1	0.0420894175	0.000426185	-6.62583391634956
ABCB1	0.03248952	0.1431143425	2.13912192741055
ABCC6	0.0329283975	0.0019363875	-4.08789271175863
ABCG2	0.125273735	0.4875061225	1.96033636784872
CENPF	0.6682343675	0.0062854275	-6.73219950049061
ABCC5	0.0369501475	0.136679495	1.88714479391652
ABCC4	0.1901859325	0.0329115025	-2.53074674214256
ALKBH	0.102319895	0.084307435	-0.279354916926636
CACNA2D2	0.0507848175	0.2931320225	2.52908141824839
CARD4	0.1105838775	0.037649685	-1.55443136457515
ARFGEF1	0.3273796	0.3705194975	0.178585036137764
CACNG3	0.00283479	0.63786857	7.81387351853768
AP4B1	0.1484799875	0.2090320525	0.493455684725464
CD86	0.0211204525	0.01500185	-0.493500322241796
ADAT1	0.203865055	0.127285475	-0.679546703165895
BRDG1	0.0021612925	0.00040228	-2.42562241458681
CLCA4	0.00038451	0.018133065	5.55945787264039
C11orf9	0.00038451	0.0053899925	3.80919024137647
APH1A	0.3608560475	0.170268335	-1.08361327245744
C14orf122	0.018468865	0.011806395	-0.645526693388724
CGI-119	0.5442496575	0.4138237825	-0.395252035086885
ASB4	0.00051197	0.000911215	0.831732221384108
ACTL6B	0.001105385	0.3397869925	8.26393787453745
CLST11240	0.00038451	0.0190182775	5.62822165686555
BET1L	0.069704375	0.048173475	-0.533010213114801
PHF21A	0.0126612525	0.189979325	3.90735038811026
BAIAP2	0.07577022	0.9368960625	3.62818616497021
C10orf92	0.00038451	0.019525385	5.66618606634271
BHMT2	0.0106417225	0.010727515	0.0115842298354618
C14orf103	0.0662037525	0.1871664075	1.49933662625519
C10orf3	0.2748983575	0.0004697525	-9.19278173190992
CKAP2	0.17986319	0.0531474	-1.75882894009015
AGPAT5	0.7075495675	0.4875035675	-0.537418443328592
ChGn	0.1763483575	0.2742710325	0.637174119440447
ABHD10	0.382125475	0.644111455	0.753263908856213
CACNA2D3	0.0127596025	0.2423482425	4.24742632954891
BTNL2	0.00038451	0.00040228	0.0651788948054879
ABCC1	0.56901027	0.04679139	-3.60413970019354
AGPAT4	0.1151462625	0.47499865	2.04445582928656
C21orf7	0.002267235	0.003191045	0.493095018728445
CA10	0.0069539975	1.90839827	8.10030401985763
CABC1	0.1531851725	0.25275404	0.722457493324764
ANKRD2	0.0005717825	0.00114168	0.997619965676465
C11orf15	0.0733427375	0.20035849	1.44985762347906
ANGPTL7	0.00038451	0.0013280325	1.78819742903283
BACH2	0.0388455225	0.0803867525	1.04920945204505
ABCG5	0.0444798125	0.004989125	-3.15629198563875
CENTD3	0.01261182	0.007537435	-0.74263092374717
APG3L	0.339605645	0.3286638625	-0.0472476030541922
CDCP1	0.1291866	0.00819001	-3.97944740928717
C20orf116	0.304148625	0.5075329475	0.738724998659648
ASPSCR1	0.073954055	0.0753584575	0.0271401805662363
APG9L1	0.56812158	0.781248065	0.459581006848444
CARD14	0.0049627575	0.00040228	-3.62487004161512
ADIPOR2	0.61751187	0.6523227925	0.0791191690377384
ALG9	0.2932633775	0.2060698075	-0.509063777099269
C14orf161	0.001367895	0.000820825	-0.736810915678619
CLUAP1	0.1066979275	0.2054667625	0.945372880496821
ACTR5	0.0309487575	0.0302445125	-0.033208084101358
C9orf76	0.024095175	0.011885575	-1.01953257958789
ASRGL1	0.1117168025	0.4296901675	1.94345057737794
C13orf23	0.1034033725	0.1026339025	-0.010775872610338
ATF6	0.8989075625	0.8162616	-0.139141177353541
CDH19	0.021834615	0.1644699775	2.91313525906381
C6orf47	0.3518603	0.29356504	-0.261322574514386
CAP1	0.4049301375	0.22686932	-0.835811498022184
ABCC11	0.0003861525	0.0008750475	1.1801906209519
CGI-115	0.7179228225	0.3236694275	-1.14930766019994
C2GNT3	0.0407882825	0.1236823825	1.60041335037169
BEX1	0.0019331275	0.19469307	6.65412092868826
CCNL2	1.07647764	0.7356739725	-0.54917989686261
ADAMTSL1	0.04805507	0.01688619	-1.50884479683648
C15orf16	0.0042865525	0.4069321225	6.56882654540319
ABC1	0.2687133975	0.14225374	-0.917601669970131
C16orf33	0.728366615	0.6964198225	-0.0647075296474343
BM88	0.051741025	3.4896816225	6.07564297503938
AD023	0.080320545	0.0233541175	-1.78209212851763
C10orf93	0.0048173025	0.0481217625	3.32039205823491
C6orf210	0.0232145775	0.0119862525	-0.953650353557248
SCCPDH	0.6210796325	0.65810184	0.0835325982823455
LMBRD1	0.2515674025	1.0756328725	2.09616885283168
C9orf121	0.0486725075	0.0086127525	-2.49856082196136
C6orf78	0.0056455575	0.0004499825	-3.64917525381733
C3orf18	0.0393069125	0.1942945225	2.30539027766046
C12orf8	1.543632145	0.79580335	-0.955845115062805
AICDA	0.00038451	0.00040228	0.0651788948054879
CHCHD2	9.395095375	5.1589264775	-0.86483692129209
DDX41	0.27962122	0.186039795	-0.587862593401052
GNA13	0.8462995125	0.642249505	-0.39803446239854
DELGEF	0.1858114325	0.512877335	1.46477454758588
CRISP3	0.02637152	0.0004626525	-5.83290793067315
C1orf61	0.0004039175	0.0640413575	7.30879942596797
GNAI3	0.3370814125	0.1357685225	-1.31194804165875
CYP46A1	0.0018586775	0.3754394675	7.65816003974383
GALNT6	0.024772985	0.0352999775	0.510899548547062
EML2	0.0513086225	0.1776980225	1.79215442788664
FBXO22	0.4574254175	0.187695745	-1.28514058827438
DNAJB9	0.44238984	0.72977883	0.722141047919157
GLS2	0.0097925175	0.1651454075	4.07591323891179
EPN1	0.6397498625	0.86587415	0.436649420285709
GGA1	0.134880825	0.2346467725	0.798805350961166
DKFZP586A0522	0.1108041775	0.2966071925	1.42054130808809
GABRP	0.0058501225	0.00040984	-3.83533413264276
GAPDHS	0.00038713	0.00040984	0.0822426856732523
DHDH	0.00288602	0.0043445225	0.590116323607621
DLG7	0.1731945	0.00040984	-8.72311660402996
DRD1IP	0.020686895	4.779583135	7.85202386459693
DCXR	0.347309565	0.50200387	0.531476342623471
GNG13	0.00143655	0.19153509	7.05885670605553
FKBP11	0.143435445	0.0042069475	-5.09148395464108
DKFZp434H2215	0.0006095325	0.0018635025	1.61224170266707
FLJ20130	0.0829617925	0.002918005	-4.82939280540763
FAM83E	0.002040795	0.001312585	-0.636720417985243
CASZ1	0.006808965	0.0020348225	-1.74253256538274
FLJ20449	0.005085335	0.0025807575	-0.978548230306078
EPN3	0.007419855	0.0127422525	0.780157432375472
IARS2	1.2241800375	0.4777494875	-1.35748951697866
FLJ10374	0.1349320525	0.1227681075	-0.136297266291419
FLJ10560	0.149735505	0.1405821275	-0.0910031578531494
DPPA4	0.00038713	0.00040984	0.0822426856732523
FLJ10922	0.059998425	0.04068147	-0.560552818440361
GIMAP5	0.0024993325	0.03608915	3.85195041515802
FOXJ2	0.32090207	0.53194692	0.729149198611467
FLJ11127	0.00710338	0.00781033	0.1368778407163
GK001	0.5051365725	0.4452674075	-0.182001484570745
FSCN3	0.00038713	0.00040984	0.0822426856732523
FGF22	0.00038713	0.00124807	1.68880883598127
DAB1	0.0032489425	0.050403175	3.95547249883185
FLJ13149	0.201741	0.2242205725	0.152414339250611
FLJ13220	0.247099545	0.21828937	-0.178850476777289
ELAVL4	0.0032529725	0.8465869125	8.02375574962247
GAN	0.1775277975	0.3423598575	0.947468611163316
EPB41L4A	0.020672505	0.08580829	2.05340381568307
ELSPBP1	0.01803526	0.00040984	-5.45961561433204
MOSC1	0.17170353	0.12609222	-0.445440436698734
FLJ13855	0.8408308075	0.7236401625	-0.216543048991934
GDAP1L1	0.0025086175	0.1005272	5.32454958567235
CUEDC2	0.5799395	1.03809397	0.839962735285326
DCC1	0.0735528125	0.0125930575	-2.5461519069321
GLB1L	0.08908051	0.0445969125	-0.998165983784774
FYCO1	0.245338465	0.124663435	-0.976735071567509
FLJ12650	0.0886322075	0.2322934925	1.39004578782863
EFTUD1	0.1722226125	0.07147372	-1.26878979483785
UGT2A3	0.029394455	0.00040984	-6.16433942213213
FLJ13848	0.2283414125	0.137739345	-0.729251812006762
CSPP	0.3355770275	0.3187907775	-0.074034063703897
FLJ12443	1.1967370525	0.42770733	-1.48441036033855
FLJ13236	0.0728194425	0.0106426575	-2.77446525503524
FLJ21019	0.025636975	0.01395462	-0.877483204429436
CCDC15	0.0439356175	0.0067048	-2.71212476747233
WDR71	0.0580386925	0.077385045	0.415039767521172
ELL3	0.0199323225	0.024283775	0.284882889382213
FOXB1	0.0011185025	0.00040984	-1.44843577899579
DKFZp762E1312	0.3255664175	0.0005124	-9.31146570083201
DUSP21	0.0040064325	0.00040984	-3.28918546849008
FLJ21901	0.1872155975	0.2471372225	0.400611682886932
FLJ14627	0.0007704175	0.0015911875	1.04639146842983
FLJ14816	0.0193451125	0.0004395725	-5.45972417548308
DNAJC4	0.4147858175	0.282036625	-0.556484044112066
DCD	0.00038713	0.00040984	0.0822426856732523
CRLF3	0.1403863525	0.062471805	-1.16812557304193
DIRAS2	0.01193579	2.372923845	7.63522793223279
C1orf113	0.344810605	0.20163001	-0.774093765479767
CHMP2B	0.2678089625	0.3702138025	0.467154440773555
DNAJB1	1.002376415	1.1256039775	0.167274956810281
CYP3A4	0.00157804	0.00040984	-1.94500107308663
FLJ20014	0.0400454675	0.057163635	0.513458697329356
RNF186	0.01705529	0.000550095	-4.9543946859332
FLJ23584	0.0303433325	0.02909597	-0.0605601969514034
FBXO39	0.0008338775	0.001378395	0.725082006869886
DEFB125	0.00038713	0.00040984	0.0822426856732523
ESX1L	0.0333907275	0.00040984	-6.34824291931073
FLJ37549	0.02176972	0.0947798025	2.12225680287492
FLJ35894	0.00038713	0.00040984	0.0822426856732523
FBXL12	0.21024058	0.10361802	-1.020766239789
DLEU1	0.319092645	0.1410334675	-1.177937797841
FLJ25168	0.0852681625	0.24374649	1.5153023714252
FXYD7	0.0074192575	1.516349665	7.67511194413067
FLJ20244	0.5380688575	0.218585955	-1.29959010329593
TP53	2.538423965	0.2310478425	-3.45766952381997
SLC25A4	0.6302608175	3.252885055	2.3676989635929
TNFRSF9	0.028701395	0.00053236	-5.75257487363472
S100A5	0.0028149425	0.00110908	-1.34374201957509
SCN9A	0.0155039875	0.0063674675	-1.2838477166872
SCP2	0.29294623	0.3841182175	0.390914504255039
SLC5A2	0.00037878	0.00040849	0.108940604111915
SPIB	0.0075214075	0.0005344575	-3.81485552766392
CLEC3B	0.00256831	0.0129905725	2.33857375819125
UBE2B	0.39444591	0.6195376375	0.651364451746773
RHAG	0.4480084575	0.00040849	-10.0990094913406
SLC12A3	0.1622268375	0.00040849	-8.63349603074994
TGFBI	0.1497676225	0.004976045	-4.91158242609179
TGM1	0.00785923	0.012172185	0.631128288103374
TYR	2.66105607	0.0004659775	-12.4794509934784
SLC10A2	0.00037878	0.00040849	0.108940604111915
SOD1	2.2417120425	3.2042738975	0.515396503167681
SLC2A4	0.039604235	0.0247837225	-0.676261814606335
SLC12A2	0.193801305	0.551036485	1.50756955962429
TFF1	0.8519055125	0.00040849	-11.0261769491287
THBS1	0.6015437975	0.0834106	-2.85036714043472
RECQL4	0.00037878	0.00040849	0.108940604111915
RAD52	0.07170883	0.07176568	0.00114330019132858
TRIM21	0.08263387	0.033158605	-1.31734992205251
RORC	0.0204819175	0.02616567	0.353324415612354
TNFRSF8	0.0224731075	0.0009067525	-4.6313470008931
TNFSF8	0.00037878	0.003115695	3.04012195070913
TFRC	1.0153037725	0.2063372125	-2.29883550033225
SCAP1	0.0190982525	0.00139276	-3.77742205727891
SRPK1	0.6226880725	0.2103216425	-1.56591233107252
TK1	1.184297515	0.01538968	-6.26592451118202
TJP2	0.191321225	0.40884182	1.09554584176469
TIE1	0.0217484975	0.06396204	1.55630021726591
SHH	0.0150462125	0.0184986925	0.298022932663079
TIAM1	0.17417474	3.07469548	4.1418362171793
TPD52	0.2787166475	0.50445666	0.855931150717914
SRF	0.61217919	0.501652165	-0.287266627115152
TCOF1	0.760474235	0.2733534075	-1.47613201038387
TAP1	0.4445671225	0.32586839	-0.448111845243387
SERPINB5	0.0410887075	0.00040849	-6.65229737805412
USP5	0.506292995	0.59009183	0.220966960470001
SERPINB7	0.00288241	0.00040849	-2.8189028958962
SNX4	0.7457038775	0.749717755	0.00774472556061673
TNFSF14	0.0048550475	0.00066856	-2.86035646442485
SNAP23	0.5028413425	0.1622973125	-1.63146415949218
SGCE	0.1732899225	0.19272481	0.15335454725997
SDHA	0.72595233	0.66498376	-0.12655570803317
SNRPD3	1.22337946	0.75117448	-0.703652003592824
TRIP13	1.201700545	0.010508565	-6.83736794641171
TRFP	0.1805196375	0.06395793	-1.49696063477641
TRAF4	0.5107207775	0.111458825	-2.1960239032694
2-Sep	2.8663252825	2.278676545	-0.331006191356333
SFRS10	0.4420933975	0.20477135	-1.11033730944937
SPARCL1	0.10224314	26.640486595	8.02547257476265
SYNGR1	0.53108707	4.3550374075	3.03566480017673
SFRS11	2.2562312025	1.7758376875	-0.345415187794546
STOML1	0.0950286575	0.44143834	2.21577738337631
SERPINI1	0.10770226	4.43251905	5.36300640302523
RPL3L	0.00290169	0.0004789925	-2.59881842660588
SFPQ	3.800969895	1.9268523075	-0.980121604757312
SLC1A6	0.0171305125	0.9023702125	5.7190792259133
SLC17A1	0.0031671725	0.00040849	-2.95482277970929
SCO2	0.02377192	0.0170857075	-0.476468441557085
THRB	0.07171163	0.591911855	3.04510333639946
STAT4	0.004678395	0.15426333	5.0432376742683
TFAP2C	0.238181425	0.00455133	-5.70962890169065
RUNX1T1	0.0006041625	0.10756964	7.47611860022431
TP73	0.0333203925	0.0282432925	-0.238497112597783
SERPINB2	0.140321365	0.00040849	-8.42421821064098
STAT5A	0.49484996	0.087521845	-2.49927610578088
UGCG	0.29273425	0.25183081	-0.21713675239663
TPST2	0.02370543	0.02062972	-0.200493322625234
SLC9A5	0.0406115475	0.085866105	1.08019874860756
SCGB2A2	0.00037878	0.00040849	0.108940604111915
SLC22A4	0.00711851	0.00359517	-0.985515306221608
THRSP	0.008280945	0.017033675	1.04052240989653
TJP1	0.1820200675	0.1762182675	-0.0467340270096193
TNNC2	0.0025529975	0.00040849	-2.64381945884024
TNNI2	0.066144505	0.0005192725	-6.99298567419413
ROM1	0.0052339775	0.0680922125	3.70151018340622
TNP1	0.00037878	0.00040849	0.108940604111915
SLC16A3	2.4121336025	0.078602795	-4.93958539325279
S100A8	0.002604865	0.108024245	5.37400273231378
SUCLG1	0.57348542	0.60643756	0.0806023019162981
TRA1	2.3302326025	0.7049142125	-1.72495437260442
TGFBR2	0.7944252075	0.327415225	-1.27878999147367
STAT6	0.3738437375	0.1404425575	-1.41245519225178
SRD5A1	0.3094120775	0.3138489975	0.0205410890358071
TRPC1	0.12430812	0.63553142	2.35404291375214
TDG	0.6396401925	0.1915849825	-1.73927611598914
SFRS3	0.5213873425	0.44748601	-0.220512980283842
TMSB4Y	0.00358625	0.0165998925	2.21062593068134
MYC	3.6822583475	0.0905854675	-5.34516742031204
RAD51	0.54860707	0.0070187225	-6.28842093944398
MDM4	0.3925085425	0.25159928	-0.641596259283056
MMP7	0.000745075	0.00047983	-0.634862295183206
NEUROD1	0.0039728475	1.2849699575	8.33734549855195
NVL	0.2148910175	0.0976300875	-1.13820744989329
PEX13	0.25097653	0.1924795675	-0.382847151354225
PGM1	0.38462021	0.28647608	-0.42501988880649
PLS1	0.07881378	0.026020745	-1.5987856277225
PMP2	0.0110571875	3.379054735	8.25549144056247
POLB	0.1758213075	0.311664235	0.825882689172022
POLE2	0.1499375725	0.00767241	-4.28853832240301
PPP1CC	3.320791035	1.69495257	-0.970282039406176
PRPSAP1	0.385525565	0.2247827675	-0.778295092808557
PSD	0.0398714125	2.352183055	5.88250181411303
PSMA5	0.73800183	0.228680225	-1.69029277883348
PSMB10	0.217899245	0.1440081	-0.5975112366811
PTPRB	0.0206626175	0.06645517	1.68535841736673
PZP	0.00050608	0.00047983	-0.0768421001306923
MYO5A	0.2316909875	2.1144088	3.18998050317618
PEX1	0.13293365	0.1153650925	-0.204499590503836
NQO2	0.545935465	0.42742532	-0.353058046824301
P4HB	8.1959541475	1.098607155	-2.89923632020054
PNLIP	0.00050608	0.0007179075	0.504432508584335
PRLR	0.0070498225	0.0041448525	-0.766266171437524
HTRA1	0.08002996	0.277512905	1.79394276845925
PPFIA2	0.0085766975	1.2327033825	7.16718774196379
MCM3	2.688826435	0.23161558	-3.53717242463844
MGMT	0.226674395	0.27963718	0.302934756973334
MCM3AP	0.303654425	0.1742061375	-0.801634940213161
MLNR	0.00050608	0.00047983	-0.0768421001306923
PPP3CA	0.2966091575	3.2421414425	3.45031198630955
NFKB2	0.483682945	0.10818062	-2.1606195973033
POMC	0.00222795	0.000851695	-1.3873080704862
PGLYRP1	0.00050608	0.0008048225	0.669305177406949
MVK	0.23483671	0.164744245	-0.511429881623839
NTRK3	0.00192872	0.43079261	7.80320597448723
PCTK2	0.0821708375	0.306095915	1.89728541536086
PIK3C3	0.182749765	0.3136711075	0.779383096490601
PRKCG	0.0147404425	1.6052883	6.76690877563553
MAPKAPK3	0.5625061275	0.1426213775	-1.97967856863731
MPP2	0.00146213	0.1790415775	6.93607925355489
PLA2G2A	0.08870603	0.002849905	-4.96004644467791
PTCH	0.0609924825	0.1549427975	1.34503235054622
PPIC	0.461686355	0.0740308075	-2.64071542444869
MX1	0.102100505	0.3335089675	1.70773555163822
NGFR	0.06814729	0.2131536325	1.64516544957436
MTRF1	0.0489573575	0.0423995675	-0.207476141339005
PEX14	0.2625783175	0.323297305	0.300113691154695
MGAM	0.0032736525	0.0037363	0.190709111425974
PIGB	0.08546313	0.0241009225	-1.82621378633045
MRPL33	0.4783216675	0.436809855	-0.13097573976101
NDUFAB1	1.75720954	1.10140559	-0.673940401268196
NDUFS1	1.27723136	1.80389299	0.498093876905075
PDE1C	0.25792971	1.09849965	2.09048454340626
MYB	1.21057278	0.0029685075	-8.67173634375434
NEF3	0.0288456725	5.4442679625	7.56023936827362
POU1F1	0.00050608	0.00047983	-0.0768421001306923
NR2C2	0.598984915	0.87682888	0.549775646697043
MDS1	0.000641905	0.00047983	-0.419836437802658
PPARA	0.139078185	0.111410375	-0.320012556093803
NR1I3	0.00050608	0.00047983	-0.0768421001306923
MMP1	0.1463198825	0.00047983	-8.25238674548983
MMP13	0.002774205	0.00047983	-2.53147913366397
MMP2	1.5891864175	0.0280911725	-5.82202771540202
MMP9	0.011334175	0.0049227125	-1.20315399321394
MIF	29.3429171425	10.44381428	-1.4903635966045
PAX3	0.029459025	0.009994775	-1.55946368770804
MDM2	0.6656612525	0.32362311	-1.04047355818413
PER1	0.1707880075	0.396948715	1.21674595157685
PPP6C	0.3904522075	0.35710608	-0.128793271949646
NME1	3.35549751	1.35313196	-1.31022414600679
MAGEB3	0.0029142925	0.00047983	-2.60255041828912
MYH8	0.00050608	0.00047983	-0.0768421001306923
OMG	0.006419165	1.5576225325	7.92274429904657
P2RY11	0.13201227	0.072401735	-0.866575853534671
PITX1	0.3332225575	0.000579285	-9.16799704354528
PKP4	0.039293415	0.1063720475	1.43675962518977
NUMB	0.5548506625	0.57354242	0.0478006701478332
NOL4	0.0025327825	0.311640255	6.94301459764294
PABPC4	2.755267455	0.532485925	-2.37137707188345
NAP1L3	0.0414987075	1.5954846775	5.26478453966776
POLR2G	0.215784435	0.0990343575	-1.12358977965027
PSAP	4.1640389075	0.5963146125	-2.80383795370825
RAB11A	1.0730322175	0.895727845	-0.260561033008181
OASL	0.0149786275	0.0063344925	-1.24160449006883
PCNA	3.9167605025	0.38433044	-3.34924176340391
PSMD7	1.67490046	0.909842505	-0.880386618655715
RAC2	0.153482945	0.0107256375	-3.8389430475731
PFDN1	0.4981908725	0.6707334975	0.4290410645568
NAT2	0.00050608	0.0004841	-0.0640603667691764
P2RY1	0.0576335125	0.0683846625	0.246764841690128
CCNA2	0.2273860975	0.0006524525	-8.44505546040785
CFLAR	0.258625845	0.447419305	0.790761052580783
ACTN2	0.0067631175	0.166549265	4.62211675818158
ADPRH	0.0212191225	0.026318775	0.310727344823998
ALOX12B	0.00714212	0.000687465	-3.37699420343115
ANXA5	6.9820613375	1.1772603075	-2.56821967683515
AOX1	0.10024619	0.01768999	-2.50254226843315
CD68	0.7604925725	0.21101012	-1.84962196571847
AHSG	25.9614788225	0.00048939	-15.6950284169094
AMBP	3.3525854775	0.00086663	-11.9175703160617
APOF	0.00801106	0.00048939	-4.03293662107113
ARF5	0.8420670825	0.913391085	0.117297539758796
ATP1B2	0.134933075	13.5211190375	6.64682671971365
BTN1A1	0.0012986075	0.0017466525	0.42762716307873
CD58	0.20606707	0.02509601	-3.03758406297536
CDA	0.0987876025	0.0201743975	-2.29180441130921
CENPA	0.163797745	0.00048939	-8.38671515796278
ACO1	0.7620233625	0.353970895	-1.10620448864331
ABCD3	0.3538706275	0.3240663575	-0.126932760955238
ACADM	0.0986047075	0.108267415	0.134870674348269
ACADS	0.4134318825	0.2300712375	-0.845569013515626
ADA	2.2550833725	0.09767223	-4.5290885260719
APOH	2.323011795	0.000599835	-11.9191431539185
ASPA	0.006506285	0.3392433875	5.70434286553104
BTD	0.1051459075	0.248297495	1.23967700822924
ABCC2	0.423268935	0.00265259	-7.31802909720125
AMT	0.02576743	0.042435725	0.719730673219201
ANXA1	0.507447945	0.0544302325	-3.22077973172261
CACNG1	0.0005208275	0.0013580825	1.38269359145914
ANGPT2	0.000714525	0.0411218	5.84677511629668
CDH1	0.68969901	0.0293246875	-4.55577925662521
CCR7	0.001762995	0.000717345	-1.29728934217223
CCL20	0.49042911	0.000747815	-9.35714748940938
ARHGDIB	1.3622792675	0.21020621	-2.69614529067297
BLM	0.2221688475	0.0460342275	-2.270877694325
CD3D	0.7739808225	0.0012759825	-9.24454546706738
CD81	4.408100965	7.5566318825	0.777586075963893
ADCYAP1	0.001401305	0.09401875	6.06810559593303
CD80	0.00196632	0.000690785	-1.50918946474639
ATM	0.09743626	0.0641358875	-0.603326909068095
CDK4	3.919030685	0.4458221425	-3.13595669157032
CDK8	0.17782123	0.1748609825	-0.0242191669091074
CDK9	0.5361535975	0.643971075	0.264349525062999
BRS3	0.0006873275	0.00140851	1.03510021853695
APC	0.3414312675	2.063446415	2.59538888566797
APOB	9.5258995725	0.00348281	-11.417387852935
ADCY8	0.0476542925	0.19134536	2.00550083996242
ADM	0.5997178575	0.0914372725	-2.71342965697628
