	A1	A2	A3	A4	B1	B2	B3	B4	C1	C2	C3	C4	D1	D2	D3	D4
CXorf2	0.00042771	0.00042771	0.00042771	0.00042771	0.00032397	0.00032397	0.00032397	0.00032397	0.00034296	0.00034296	0.00034296	0.00034296	0.00038369	0.00038369	0.00038369	0.00038369
COX7A1	0.00290877	0.00230564	0.00222109	0.00177206	0.46515301	0.47452726	0.47124201	0.46437225	0.09558363	0.0955076	0.0997274	0.09556981	0.30473171	0.31038128	0.32299948	0.31512661
CPA1	0.00042771	0.00042771	0.00042771	0.00042771	0.00032397	0.00032397	0.00032397	0.00032397	0.00034296	0.00034296	0.00034296	0.00034296	0.00038369	0.00038369	0.00038369	0.00038369
CPB1	0.00042771	0.00042771	0.00042771	0.00042771	0.0007457	0.00079083	0.0006194	0.00076849	0.00034296	0.00034296	0.00034296	0.00034296	0.00044057	0.00047316	0.00061461	0.0005538
CTPS	1.10256154	1.06405954	1.07379387	1.12381615	0.14390823	0.13963405	0.14414066	0.14533953	0.83851186	0.83903792	0.83848534	0.77840261	0.38873075	0.36302713	0.36529171	0.37212482
DCT	8.45351454	0.00042771	8.59050274	8.33607972	0.00153543	0.00221734	0.00200016	0.00228904	6.2623515	6.386143	6.21220147	6.14551182	2.05798596	1.95808456	1.90533177	2.02126594
ECGF1	0.01983119	0.02260484	0.02173581	0.02220036	0.01964999	0.02019711	0.02141668	0.02163076	0.01979478	0.02073232	0.02121687	0.02476319	0.02094368	0.02112656	0.02106969	0.02155519
EYA3	0.14471768	0.14403576	0.14780878	0.14229012	0.06763357	0.07137554	0.06814108	0.06404594	0.12581582	0.12428301	0.11697815	0.12370246	0.08688062	0.08638744	0.08977064	0.08598952
EXOSC10	0.35958878	0.36811576	0.3712584	0.3742683	0.22673551	0.22015135	0.21279514	0.22564945	0.34479545	0.33861094	0.3488777	0.34649995	0.22585187	0.23020248	0.24376835	0.2278431
CLCN5	0.05988845	0.06483264	0.06332949	0.0638351	0.02671003	0.02926226	0.03141666	0.0308623	0.05467617	0.05391559	0.05472665	0.05581064	0.04440215	0.0404905	0.04198842	0.04351152
COL1A1	0.53116734	0.55068701	0.59118824	0.55787071	0.01010352	0.01169963	0.00968967	0.01149338	0.40921261	0.41752594	0.45183751	0.42983328	0.16814328	0.16214059	0.16614958	0.15968951
CYP1B1	0.14942418	0.1463118	0.14968676	0.13832731	0.11474273	0.10106245	0.1142901	0.11383323	0.14908846	0.14751667	0.16280066	0.15041685	0.1287171	0.12656865	0.13596998	0.13799303
CYP2D6	0.00195132	0.00127365	0.00218162	0.00272197	0.00090285	0.0011517	0.00081415	0.00093967	0.00206891	0.00169311	0.00211962	0.00296892	0.00175264	0.0010691	0.00123565	0.00192084
ERCC3	0.47551756	0.47575182	0.49999449	0.45910385	0.32182456	0.35480452	0.35957688	0.34759764	0.43785616	0.45761762	0.43303462	0.45628597	0.39933343	0.41047759	0.40926891	0.38802903
ERCC5	0.43332903	0.45347894	0.4790904	0.47377308	0.43597107	0.42413341	0.44590463	0.44153382	0.48141421	0.46401881	0.46949105	0.43769102	0.48997063	0.48277352	0.46576388	0.49584401
FAH	0.17297854	0.17450314	0.17292459	0.16701776	0.02712888	0.02731545	0.02547608	0.0269498	0.13152326	0.13740714	0.133196	0.13560509	0.07097015	0.06654395	0.06688602	0.06588398
F12	0.00566978	0.00512257	0.00486789	0.00441157	0.00032397	0.00032397	0.00032397	0.00032397	0.00365217	0.00369012	0.00363123	0.0042339	0.00129912	0.00140777	0.00133773	0.00145234
DAF	1.234896	1.32509476	1.31530151	1.27024651	0.10887709	0.10305162	0.12282173	0.11545196	0.98159454	1.01659704	1.05373671	1.03030299	0.42250662	0.43895362	0.46136251	0.43273443
CYP1A2	0.00046256	0.00043538	0.00042771	0.000738	0.00032397	0.00032397	0.00032397	0.00032397	0.00034296	0.00034296	0.00034296	0.00051259	0.00038369	0.00038369	0.00038369	0.00038369
CYP2B6	0.00042771	0.00042771	0.00074602	0.00042771	0.00058518	0.00045026	0.00059613	0.00048846	0.00065294	0.0005497	0.0005833	0.00045868	0.00045356	0.00038369	0.00076026	0.00063369
CYP2F1	0.00042771	0.00042771	0.00042771	0.00042771	0.00032397	0.00032397	0.00032397	0.00032397	0.00034296	0.00034296	0.00034296	0.00034296	0.00038369	0.00038369	0.00038369	0.00038369
CYP4A11	0.00042771	0.00042771	0.00042771	0.00042771	0.00254646	0.00245239	0.00253857	0.00229145	0.00072135	0.0006755	0.001128	0.00054956	0.00231401	0.00249493	0.00261648	0.00232607
EIF2AK2	0.59298581	0.62408171	0.64462028	0.66218498	0.43987259	0.40459083	0.45671994	0.45953716	0.52833493	0.55558111	0.577201	0.58276002	0.5581372	0.53309737	0.54442712	0.56852977
ENTPD1	0.01382586	0.01500025	0.01614514	0.01312689	0.09520838	0.08679268	0.08642198	0.08322678	0.03629805	0.03665267	0.03366158	0.03695148	0.07640288	0.07855715	0.0754603	0.07535473
CTNNB1	3.99925977	3.80410043	4.02333268	4.01419654	2.07623642	2.14438205	2.18051684	2.20163674	3.71390409	3.35368821	3.68573028	3.87583915	2.78670922	2.63744683	2.7536247	2.81627384
DSG3	0.00042771	0.00042771	0.00042771	0.00042771	0.00159522	0.00167039	0.00035347	0.00102597	0.00068144	0.00106031	0.00052936	0.00069341	0.00057371	0.00107917	0.0006384	0.00038369
FGB	0.43174243	0.43102648	0.43496541	0.44195851	0.00033957	0.00032397	0.00032397	0.00033847	0.32454914	0.33629422	0.33085556	0.32929279	0.10645583	0.13127524	0.1381238	0.11597018
CX3CL1	0.26369925	0.30037884	0.26971666	0.29168136	1.10143584	1.06654985	1.09739686	1.06637163	0.44515882	0.45884394	0.46058472	0.45529508	0.92788401	0.93224638	0.94874993	0.91441826
EPO	0.00485981	0.00373978	0.00424626	0.00365528	0.00032397	0.00032397	0.00032397	0.00032397	0.00259901	0.00273621	0.00378973	0.00327029	0.0012591	0.00148357	0.001552	0.00106081
ELAVL1	1.14852541	1.25828486	1.15073431	1.21371429	0.43550714	0.44942111	0.43344811	0.42846463	0.97580279	1.02845471	0.93433266	1.01369598	0.64735098	0.68723346	0.65121211	0.6562527
ERBB4	0.02106009	0.02039316	0.02229076	0.02207857	0.44667124	0.4369196	0.45801668	0.45357069	0.10899875	0.11657218	0.12239159	0.11559957	0.34966897	0.34758855	0.37188106	0.35765023
POLR2A	1.00560813	0.93198152	1.05098331	1.01523855	1.07452217	0.96616944	0.99108315	0.97189921	1.00329308	0.97371376	1.0285374	0.99522388	0.98106215	0.99581704	1.02168137	1.00186325
EZH2	0.74903802	0.77035115	0.79098397	0.76890402	0.01298257	0.01452781	0.01389984	0.01431828	0.55793343	0.57641127	0.59532359	0.58366541	0.21711662	0.20520884	0.20338333	0.19691003
F13A1	0.00152785	0.00194621	0.00177545	0.00265074	0.13737523	0.13998378	0.14637988	0.14692444	0.03322599	0.03808209	0.03855284	0.03324965	0.11164217	0.11386132	0.10955831	0.12326099
CRH	0.00042771	0.00042771	0.00042771	0.00042771	0.01149771	0.01157375	0.01223797	0.0136425	0.00271122	0.00261398	0.0026312	0.0034481	0.0101827	0.01041041	0.00982746	0.0089328
CHGB	0.02397391	0.02094638	0.02374576	0.02568058	2.26686617	2.35537172	2.37243142	2.36385249	0.56175315	0.5568443	0.52512085	0.56715816	1.86191496	1.79696389	1.72112795	1.81181958
EDN1	0.12704758	0.12607904	0.1352743	0.12171851	0.25931712	0.2422216	0.2760564	0.25585292	0.14831342	0.15225127	0.14378394	0.1611205	0.19887955	0.21745805	0.20722635	0.21581712
DEFB4	0.00054143	0.00042771	0.00055237	0.00074376	0.00032397	0.00032397	0.00032397	0.00032397	0.00034296	0.00035313	0.00043482	0.00034296	0.00054165	0.00038369	0.00038369	0.00038369
DGKG	0.01119068	0.01115723	0.00967401	0.01019833	0.85565792	0.79809743	0.80183876	0.85930361	0.17503154	0.17309451	0.16489096	0.17012508	0.56316177	0.59334575	0.59693171	0.58754396
DLG4	0.15317372	0.15043613	0.15633056	0.15061434	2.32257298	2.34434602	2.43014511	2.40067328	0.62606236	0.59976331	0.61469107	0.62542586	1.8139438	1.90873285	1.87960595	1.80214515
ERN1	0.40803034	0.4118203	0.42409237	0.40471079	0.06505944	0.06149596	0.06460015	0.06614549	0.32292439	0.32548512	0.32162418	0.31271781	0.17130233	0.17373626	0.16600995	0.16632141
CSNK2A2	0.33271908	0.33512355	0.33518562	0.32283871	0.16580793	0.15800239	0.16232666	0.15681207	0.28306265	0.28035595	0.28194888	0.27481865	0.17487998	0.17721717	0.17834831	0.16723592
CSK	0.25723091	0.25941593	0.26244551	0.25524426	0.08963327	0.08660582	0.08076779	0.08428958	0.19210527	0.17518654	0.18679392	0.18529042	0.09606351	0.14932754	0.14265099	0.13404061
EPHA7	0.00488172	0.00469378	0.00476914	0.00447702	0.05219453	0.05135883	0.05388913	0.0551698	0.01438832	0.0137894	0.01442227	0.01428122	0.04049261	0.04027015	0.03987527	0.04105899
EIF2AK3	0.15000803	0.18429414	0.21548012	0.21735225	0.11489983	0.10964066	0.1248076	0.13297339	0.1558324	0.00034296	0.17057105	0.19977289	0.125456	0.12459031	0.13950852	0.14347309
EPHA3	0.0932759	0.09797053	0.09632559	0.09492256	0.02730792	0.0258763	0.02719364	0.02732639	0.07119729	0.07773088	0.07832135	0.0743783	0.04320499	0.04279619	0.04244308	0.04066009
FGR	0.00140403	0.00086056	0.00067897	0.00074648	0.03756769	0.00628096	0.04085238	0.0394612	0.00852112	0.01028895	0.00992349	0.01082337	0.02899966	0.03159381	0.03133595	0.03272753
DCC	0.00159898	0.0016905	0.00151116	0.00170842	0.10710187	0.09482333	0.09507981	0.09419288	0.02166208	0.0232857	0.02572843	0.03174728	0.07920074	0.08539732	0.08198007	0.08517693
CHRNA4	0.00353225	0.00540629	0.00463024	0.0038707	0.14571135	0.14426526	0.15270535	0.14729581	0.03454834	0.03696286	0.03392166	0.0392661	0.11638453	0.11813785	0.11131887	0.11430119
FGF9	0.01756984	0.01791755	0.01727606	0.0205889	0.32321584	0.32922177	0.32852714	0.3174424	0.09153086	0.08208763	0.08452644	0.0912462	0.28744737	0.26565115	0.28547151	0.27668758
CHRNG	0.00042771	0.00042771	0.00042771	0.00042771	0.00032397	0.00032397	0.00032397	0.00032397	0.00034296	0.00034296	0.00034296	0.00034296	0.00038369	0.00038369	0.00038369	0.00038369
FANCG	0.5950078	0.58845929	0.56828283	0.61150552	0.06917144	0.07750464	0.07826898	0.07294833	0.4385352	0.43650963	0.41779514	0.43375999	0.18949447	0.18198971	0.1795219	0.18403028
CHST1	0.0241685	0.02315461	0.02502813	0.02477492	0.87306186	0.88908498	0.90097524	0.83390795	0.21610269	0.21749761	0.2041042	0.21866162	0.65014819	0.65388587	0.70216804	0.66283645
DUSP3	0.52120843	0.56046918	0.59477606	0.54475392	0.65991258	0.740799	0.70905503	0.72564255	0.54915979	0.56081803	0.57590448	0.59519485	0.64778465	0.69043622	0.66799367	0.71717519
FKBP5	0.44164149	0.46120445	0.47761405	0.45614784	0.37097126	0.39433679	0.37450033	0.36627769	0.45169688	0.42791629	0.45022772	0.46453499	0.35620582	0.36322228	0.38454077	0.36781929
COX15	0.35156866	0.35529788	0.35983862	0.36885618	0.20090643	0.2061469	0.22314852	0.2170679	0.2984856	0.29919411	0.31286782	0.31221085	0.25017178	0.26467262	0.27242737	0.26200982
CSPG3	0.00162365	0.00188084	0.00190342	0.00141556	0.23536581	0.24373927	0.24219672	0.24567646	0.05586559	0.05074516	0.06065025	0.06160729	0.17106594	0.17706714	0.1880902	0.18407826
DFFA	0.84750423	0.84849554	0.84971647	0.79789699	0.29886899	0.28871355	0.29691271	0.31084342	0.68834578	0.65690786	0.66484619	0.67963093	0.48162964	0.47028642	0.46585742	0.47083774
CRLF1	0.32911264	0.32928074	0.36189489	0.33977492	0.07478983	0.0792186	0.08297071	0.083797	0.23003567	0.24993124	0.24458919	0.25914428	0.12737478	0.13343882	0.14381669	0.13801957
EGFR	0.12770144	0.12910917	0.12842583	0.14413546	0.06791943	0.06820916	0.07003937	0.06918891	0.12803927	0.13329903	0.13415431	0.13922149	0.08652654	0.0843021	0.08791441	0.08536325
E2F2	0.01808457	0.01879962	0.01992383	0.01919812	0.00032397	0.00032397	0.00032397	0.00032397	0.01505803	0.01420472	0.012561	0.01422736	0.0047934	0.00507115	0.00453887	0.0045497
DAP	0.53070792	0.53269554	0.58657847	0.49887831	0.07061365	0.06465803	0.06979677	0.05813995	0.4347778	0.43591471	0.49016479	0.45907839	0.21950565	0.20339774	0.22494203	0.20290206
CSF1R	0.00232105	0.00167293	0.00219017	0.00276134	0.17444616	0.17292322	0.18385964	0.19127269	0.03877629	0.0352769	0.04132123	0.04215144	0.13503382	0.12916777	0.14193587	0.13589956
CP	1.04462698	1.13018768	1.03646832	1.05008758	0.26475504	0.2789513	0.26725641	0.27641798	0.83017519	0.84730323	0.84880919	0.79728275	0.53410156	0.5084576	0.47514953	0.49320958
CYP3A5	0.00130528	0.00131685	0.00152049	0.00133229	0.00032397	0.00032397	0.00032397	0.00032397	0.00121029	0.00123098	0.00099007	0.00111195	0.00050062	0.00046788	0.00045283	0.0004091
DYSF	0.03523936	0.03843591	0.03696598	0.03765562	0.04066985	0.0420638	0.04074444	0.04323997	0.0382853	0.03892394	0.03562364	0.04020896	0.04064498	0.03883684	0.04299061	0.04201652
CRYGB	0.00042771	0.00042771	0.00042771	0.00042771	0.00032397	0.00032397	0.00032397	0.00032397	0.00034296	0.00034296	0.00034296	0.00034296	0.00038369	0.00038369	0.00038369	0.00038369
FER	0.39936409	0.37338806	0.3937895	0.38551242	0.5415497	0.5378174	0.53444619	0.50758122	0.34023692	0.34322166	0.38428098	0.3668302	0.49077888	0.51257359	0.48765333	0.51928449
FGF2	0.28124395	0.29669688	0.29949099	0.28507006	0.48599317	0.4751559	0.50305807	0.46963622	0.32644762	0.33995067	0.32219849	0.32632554	0.43916282	0.44831873	0.43595111	0.46856093
DNAJC7	0.18685305	0.19552364	0.20792523	0.20784702	0.17780026	0.19366948	0.18874021	0.19183738	0.19079789	0.19039723	0.19105078	0.19604411	0.17516756	0.17999462	0.18618155	0.1969727
CYP2J2	0.02309653	0.02424148	0.02119566	0.02096841	0.23123836	0.24186966	0.23754593	0.2467535	0.07543299	0.07147418	0.06994477	0.07417349	0.19517555	0.19405222	0.19620183	0.20300504
FADD	0.41212555	0.42175752	0.43729229	0.4272432	0.14538826	0.13574261	0.14495678	0.14153396	0.3367193	0.34995489	0.33951985	0.34617872	0.21299697	0.2233748	0.22816785	0.21754862
CRP	0.00042771	0.00042771	0.00042771	0.00042771	0.00040252	0.00053557	0.00037595	0.00032397	0.00034296	0.00034296	0.00034296	0.00034296	0.00038369	0.00102459	0.00038369	0.00067425
DRD5	0.04861309	0.05284677	0.05113466	0.05155297	0.0411828	0.03864154	0.03209175	0.04071967	0.04609291	0.04352395	0.04463052	0.04267165	0.04542527	0.04161654	0.0442964	0.04400419
CYP3A7	0.00237547	0.00212152	0.00249228	0.00185447	0.00032397	0.00032397	0.00032397	0.00032397	0.00158944	0.0026023	0.00126337	0.00163117	0.00076298	0.00043038	0.00127383	0.00095035
CYP2A13	0.00042771	0.00042771	0.00042771	0.00042771	0.00032397	0.00032397	0.00032397	0.00032397	0.00034296	0.00034296	0.00034296	0.00034296	0.00038369	0.00038369	0.00038369	0.00038369
CYP2C9	0.00042771	0.00042771	0.00042771	0.00042771	0.00032397	0.00032397	0.00032397	0.00032397	0.00034296	0.00034296	0.00034296	0.00034296	0.00038369	0.00038369	0.00038369	0.00038369
FBP2	0.00042771	0.00044503	0.00066275	0.00042771	0.00724795	0.0052598	0.00695395	0.00713203	0.00113682	0.00176249	0.00175947	0.00185406	0.00484904	0.00436033	0.0037548	0.00504111
ELK1	0.558984	0.57403778	0.60113965	0.59795961	0.67804063	0.73286955	0.67893944	0.71719077	0.57733938	0.5623917	0.58939125	0.54059591	0.73292936	0.71857681	0.72662016	0.72025387
DPYD	0.19276577	0.1892549	0.19211976	0.18954019	0.06412412	0.06897374	0.06381966	0.06182596	0.17797919	0.17740195	0.16179779	0.16696897	0.08735365	0.08577398	0.08541367	0.08600196
FABP4	0.00042771	0.00042771	0.00042771	0.00042771	0.00554589	0.00507277	0.00512698	0.00508977	0.00156873	0.0013708	0.00123586	0.00257481	0.0046442	0.00340884	0.00432211	0.00281612
CUL4A	1.09027646	1.13579597	0.99145258	1.15375729	0.42055306	0.42990653	0.45080646	0.43466305	0.93547452	0.9638228	0.91652653	0.95885741	0.64197987	0.65596326	0.67363376	0.69355345
UBC	8.35421739	8.69283906	8.60504618	8.69482677	9.01422507	8.98840395	8.83843582	9.26521209	8.08892856	8.07095532	8.23244677	8.60786653	9.31932066	8.71376492	9.29088027	9.06609156
CKS2	0.08778096	0.08843384	0.09089801	0.08811742	0.00854912	0.00883973	0.00806172	0.00726975	0.08254943	0.08109323	0.08322295	0.07826126	0.05807473	0.0623832	0.05736973	0.0576523
18S	50210.01446	40032.59397	49728.1755	53177.15227	51663.95253	52588.58178	46825.01772	49489.47647	53737.93153	51997.36517	55217.06252	54020.80133	52427.15251	50244.24959	56925.94557	54622.09127
HPRT1	1.36897717	1.40230102	1.37847259	1.35618603	1.01640756	1.04249167	1.01654414	0.98911642	1.25335969	1.24271023	1.24879779	1.20599714	1.08688334	1.11024691	1.07894929	1.06900805
ABCC8	0.00166321	0.00144358	0.00136933	0.00137693	0.17190132	0.17752947	0.18378566	0.18604069	0.03660522	0.03609596	0.03560429	0.04020458	0.0932455	0.10129584	0.10127963	0.10376549
POLR2A	1.00529509	0.99159624	0.99466372	1.00854502	0.98352344	0.96407771	1.03724208	1.01677092	1.02578258	0.94919656	1.03490391	0.99240398	0.98278563	0.96350093	1.04359588	1.01194453
CNIH	1.66337411	1.65077136	1.59573961	1.56193962	1.11156138	1.17996304	1.12087667	1.09761497	1.56304229	1.56236764	1.57701298	1.52543792	1.29575161	1.32752181	1.38262603	1.35734362
ABCB6	0.86616477	0.9258118	0.94603056	0.97284613	0.57214986	0.54224424	0.59797897	0.56888037	0.91814226	0.91128157	0.9578898	0.92041587	0.59847449	0.62917179	0.61628129	0.58182356
ARMET	1.24158268	1.23300055	1.32266726	1.26609588	0.39324306	0.3974214	0.4057505	0.40112177	1.26550666	1.26060454	1.29223662	1.26029775	0.62861195	0.6157198	0.65396653	0.63312607
CELSR1	0.0405401	0.03911261	0.04453374	0.04417122	0.00041786	0.00044873	0.00043587	0.00040228	0.0314754	0.03414233	0.03466501	0.03415551	0.01334223	0.01258139	0.01356024	0.01222066
ABCB1	0.03315072	0.03281362	0.03071299	0.03328075	0.14404127	0.14107303	0.14636553	0.14097754	0.06088886	0.06792068	0.0670841	0.06838084	0.0798578	0.08444745	0.08194247	0.08844707
ABCC6	0.03331399	0.03236783	0.03436112	0.03167065	0.00224955	0.00157925	0.00195832	0.00195843	0.03430606	0.03541417	0.03430916	0.03459731	0.00730931	0.00847504	0.00869368	0.0105792
ABCG2	0.1222121	0.12501611	0.1267636	0.12710313	0.47904105	0.50148884	0.48806551	0.48142909	0.18895227	0.19300252	0.21102947	0.2045233	0.34154014	0.3542833	0.35470708	0.34329683
CENPF	0.67267976	0.64404033	0.66824893	0.68796845	0.0056912	0.00632573	0.00633069	0.00679409	0.5404377	0.52463794	0.5308329	0.55082407	0.19375806	0.20496676	0.19577853	0.19548622
ABCC5	0.03476038	0.04059081	0.03775462	0.03469478	0.12360742	0.14590995	0.13461814	0.14258247	0.07059252	0.06864082	0.07001336	0.07445651	0.05334344	0.05971427	0.05576855	0.06039124
ABCC4	0.18914375	0.19936572	0.18868275	0.18355151	0.03372797	0.03231381	0.03136099	0.03424324	0.17793949	0.17470415	0.17318179	0.16998986	0.07300368	0.07452831	0.06997217	0.06744878
ALKBH	0.09767906	0.09867997	0.11153478	0.10138577	0.0859405	0.08241479	0.08876636	0.08010809	0.15219262	0.14485462	0.13539195	0.12624801	0.06011497	0.07882597	0.07702498	0.08434058
CACNA2D2	0.04904431	0.04887634	0.05638704	0.04883158	0.2839583	0.28773698	0.29949759	0.30133522	0.08067379	0.07978965	0.08019922	0.08278807	0.17263867	0.17139138	0.17712297	0.16625341
CARD4	0.11488771	0.11206686	0.10994814	0.1054328	0.03631	0.03516027	0.03820742	0.04092105	0.08995536	0.08983829	0.08813526	0.08531795	0.05608493	0.0566045	0.05614003	0.05767643
ARFGEF1	0.31498221	0.32279752	0.34039013	0.33134854	0.35962574	0.37466768	0.37735886	0.37042571	0.40493039	0.41641466	0.4500232	0.44594325	0.32242	0.31883495	0.33898365	0.34288527
CACNG3	0.0023375	0.00383613	0.0026384	0.00252713	0.61746811	0.64181215	0.65027905	0.64191497	0.13151621	0.12343927	0.1263944	0.13067405	0.3949275	0.41612279	0.427067	0.43907248
AP4B1	0.14426702	0.14324366	0.16199557	0.1444137	0.20544626	0.20105578	0.2249262	0.20469997	0.180943	0.1958728	0.19602598	0.18977495	0.12562585	0.13982788	0.14398829	0.13969683
CD86	0.02142563	0.02139053	0.02063704	0.02102861	0.01440091	0.01572023	0.01571548	0.01417078	0.02128793	0.02330215	0.02072854	0.02058273	0.01807904	0.01908536	0.0189431	0.01926751
ADAT1	0.19549752	0.20665156	0.20257744	0.2107337	0.12048281	0.12310197	0.13577055	0.12978657	0.21614542	0.22412149	0.23101712	0.23073768	0.12348059	0.1288129	0.13028993	0.13360727
BRDG1	0.00288611	0.00212131	0.00146209	0.00217566	0.00040228	0.00040228	0.00040228	0.00040228	0.00189121	0.00196259	0.00145243	0.0014132	0.00122684	0.00098369	0.00054649	0.00060163
CLCA4	0.00038451	0.00038451	0.00038451	0.00038451	0.01770419	0.01859192	0.01817629	0.01805986	0.00357644	0.00281401	0.00276037	0.00273532	0.01136486	0.01136644	0.01227121	0.0121775
C11orf9	0.00038451	0.00038451	0.00038451	0.00038451	0.00511497	0.00603509	0.00564306	0.00476685	0.001529	0.00071438	0.00064751	0.00116351	0.00308927	0.00302373	0.00252882	0.00481068
APH1A	0.35864193	0.36363104	0.37287066	0.34828056	0.1687043	0.17193656	0.1728522	0.16758028	0.39884272	0.41000712	0.40944714	0.41612098	0.18865012	0.19358215	0.18472612	0.18319306
C14orf122	0.01819456	0.01910853	0.01800561	0.01856676	0.01187536	0.01165814	0.01158197	0.01211011	0.01532771	0.01520993	0.01384136	0.01506495	0.0126956	0.01346067	0.0132808	0.01302368
CGI-119	0.55388365	0.53544006	0.54006409	0.54761083	0.43009571	0.40701097	0.40626627	0.41192218	0.55332003	0.54035371	0.52096261	0.54220538	0.4705529	0.46235625	0.45187914	0.44988291
ASB4	0.0005247	0.00045469	0.00059185	0.00047664	0.00099166	0.00082595	0.00095752	0.00086973	0.00092843	0.00087728	0.00115894	0.00106641	0.00054729	0.00057971	0.00081265	0.00059963
ACTL6B	0.00115193	0.00123928	0.00101806	0.00101227	0.34779203	0.33558679	0.32833782	0.34743133	0.0710203	0.07263691	0.06978196	0.068907	0.18117322	0.18484029	0.16881664	0.18195227
CLST11240	0.00038451	0.00038451	0.00038451	0.00038451	0.01893097	0.01755989	0.02071368	0.01886857	0.0030148	0.00394112	0.0029849	0.00344302	0.01232961	0.0120295	0.0126583	0.01353181
BET1L	0.06579015	0.07164701	0.07319102	0.06818932	0.05090924	0.05135144	0.04490031	0.04553291	0.0905239	0.09286197	0.09186461	0.08935356	0.05015854	0.05019967	0.04647652	0.04405141
BET1L	0.3696672	0.38150872	0.38710658	0.38047152	0.24586637	0.25856996	0.2789396	0.26401709	0.43450869	0.43650939	0.46155816	0.44214661	0.28212378	0.27202685	0.28793966	0.29636453
PHF21A	0.01396086	0.01224601	0.01102508	0.01341306	0.19184221	0.19260938	0.18277284	0.19269287	0.05425239	0.0564688	0.05131919	0.04494263	0.09781318	0.09574322	0.10147149	0.0999296
BAIAP2	0.07779938	0.06887154	0.07775305	0.07865691	0.92662259	0.96500939	0.93077134	0.92518093	0.248803	0.25838836	0.25233205	0.26195376	0.65230682	0.65847287	0.65934856	0.63592417
C10orf92	0.00038451	0.00038451	0.00038451	0.00038451	0.01855417	0.0176213	0.02248346	0.01944261	0.00361694	0.00435726	0.00467261	0.00520515	0.00978803	0.00937359	0.01034014	0.00995348
BHMT2	0.01103197	0.01049715	0.0102206	0.01081717	0.01070993	0.01079969	0.01086162	0.01053882	0.01381764	0.01368281	0.01235591	0.01594948	0.00970703	0.00971246	0.00908752	0.01146955
C14orf103	0.06367169	0.06537897	0.07034927	0.06541508	0.18828254	0.20122272	0.17364891	0.18551146	0.0864622	0.0898388	0.08960172	0.08975996	0.1419518	0.15393451	0.14940451	0.15053144
C10orf3	0.26767358	0.27240345	0.2808405	0.2786759	0.00044699	0.00040285	0.00052609	0.00050308	0.24192385	0.23844273	0.26859085	0.25142436	0.07157587	0.07154947	0.07230562	0.07149465
CKAP2	0.17781469	0.18001106	0.17974067	0.18188634	0.05524236	0.05171031	0.05454403	0.0510929	0.14375376	0.13464404	0.15203763	0.13817434	0.08722697	0.08505111	0.08775745	0.09287012
AGPAT5	0.70241685	0.70787297	0.71939953	0.70050892	0.47412338	0.48961429	0.50189481	0.48438179	0.71825478	0.70134066	0.6972912	0.69299188	0.50071888	0.51961441	0.522111	0.52212198
ChGn	0.1785918	0.18431333	0.1782613	0.164227	0.27555993	0.27643838	0.27324628	0.27183954	0.1915092	0.18260446	0.17819195	0.17713851	0.23263441	0.23808201	0.24342899	0.2407779
ABHD10	0.37951154	0.38747312	0.39190908	0.36960816	0.63495143	0.6444747	0.66795537	0.62906432	0.51206629	0.4998166	0.5104701	0.48278677	0.53276619	0.49136692	0.53812104	0.48897212
